algorithm,dimensionality,igd_mean,igd_std,spacing_mean,spacing_std,n_trials
EGBO,10,0.36230551532825805,0.06961632808586887,0.17012654111435518,0.04605766236403475,10
EGBO,20,0.6059062310327447,0.055310815064593906,0.33488130498783747,0.051329560248308245,5
EGBO,50,1.492767563294093,0.11845331722342801,1.0279182190917968,0.05728112976659601,5
EGBO,75,2.0940728835847993,0.1287155451049493,0.9877549486261538,0.13374393680636923,10
EGBO,100,2.8971641206712957,0.25767518665261413,1.308133889676893,0.1345756160640328,10
EGBO,150,3.767807954023701,0.18514955510612374,1.955308380656326,0.20468508784552722,10
EGBO,200,5.820870410309843,0.4815247906551868,2.5189144888916433,0.1523566979143376,10
EGBO,250,10.926015600443282,0.2544389900286183,3.350177722202376,0.3713768120453492,10
Traditional_NEHVI,10,0.3933520168736548,0.01207304690404059,0.15901609829563762,0.02164050327827574,10
Traditional_NEHVI,20,0.534293430517818,0.01573035589573593,0.24075320126449418,0.00691923531334795,5
Traditional_NEHVI,50,0.9392303778584962,0.03616704490312958,0.4687462617014477,0.02877562448520144,5
Traditional_NEHVI,75,1.920868278732152,0.2829488251913039,1.2953800533042312,0.28493819348994454,10
Traditional_NEHVI,100,2.6024491297241736,0.27866746562053823,1.7061869970793544,0.13566586761287977,10
Traditional_NEHVI,150,2.9290017994828568,0.4301227735826156,2.35683183083846,0.5326559301810528,10
Traditional_NEHVI,200,3.8244660264405965,0.7693143962280422,2.621903516334251,0.5062432317524989,10
Traditional_NEHVI,250,4.5777327964951855,0.8187575729519828,2.7480224718852493,0.9786543112556236,10
