problem,dimensionality,algorithm,trial,igd,spacing,n_points
DTLZ2_5obj_100D,100,EGBO,0,3.2368507085871308,1.2601169729514572,44
DTLZ2_5obj_100D,100,EGBO,1,3.349750962799287,1.315274361198551,47
DTLZ2_5obj_100D,100,EGBO,2,2.971331319003791,1.3492215695896237,55
DTLZ2_5obj_100D,100,EGBO,3,2.9170750040903743,1.514252843519683,51
DTLZ2_5obj_100D,100,EGBO,4,2.841558262652556,1.2326881407397472,49
DTLZ2_5obj_100D,100,EGBO,5,2.7813731188518465,1.2679580770614898,65
DTLZ2_5obj_100D,100,EGBO,6,2.995636929901014,1.0392099965054629,61
DTLZ2_5obj_100D,100,EGBO,7,2.7319497375438653,1.4626018480755882,48
DTLZ2_5obj_100D,100,EGBO,8,2.635775683900852,1.3996850246869998,52
DTLZ2_5obj_100D,100,EGBO,9,2.5103394793822393,1.2403300624403282,55
DTLZ2_5obj_100D,100,Traditional_NEHVI,0,2.540974564048,1.9634663431226227,62
DTLZ2_5obj_100D,100,Traditional_NEHVI,1,2.918816122161571,1.5456126420296632,74
DTLZ2_5obj_100D,100,Traditional_NEHVI,2,2.1960266744329373,1.6203893978113169,76
DTLZ2_5obj_100D,100,Traditional_NEHVI,3,2.3181412207771896,1.86484318050554,64
DTLZ2_5obj_100D,100,Traditional_NEHVI,4,2.6284238624707212,1.6558932703696814,61
DTLZ2_5obj_100D,100,Traditional_NEHVI,5,2.424733213324418,1.5949327419521313,54
DTLZ2_5obj_100D,100,Traditional_NEHVI,6,3.0765136736909855,1.6740353228857843,30
DTLZ2_5obj_100D,100,Traditional_NEHVI,7,2.4137782480148693,1.5851336756410912,59
DTLZ2_5obj_100D,100,Traditional_NEHVI,8,2.8269348399662664,1.7799359185959969,71
DTLZ2_5obj_100D,100,Traditional_NEHVI,9,2.680148878354775,1.7776274778797185,54
DTLZ2_5obj_150D,150,EGBO,0,3.658013431805978,2.205662952391677,56
DTLZ2_5obj_150D,150,EGBO,1,3.7845851849202856,2.060762332102579,51
DTLZ2_5obj_150D,150,EGBO,2,3.942006328684663,1.850787201172127,40
DTLZ2_5obj_150D,150,EGBO,3,3.5051019019384775,1.700398391958564,47
DTLZ2_5obj_150D,150,EGBO,4,3.5191025087977175,2.0936386522050165,57
DTLZ2_5obj_150D,150,EGBO,5,4.114121763782631,1.8853340027186682,72
DTLZ2_5obj_150D,150,EGBO,6,3.7742814178114052,1.788331447230606,72
DTLZ2_5obj_150D,150,EGBO,7,3.8652669637103148,1.777534024450496,54
DTLZ2_5obj_150D,150,EGBO,8,3.706325615301024,1.8665813167264598,43
DTLZ2_5obj_150D,150,EGBO,9,3.80927442348451,2.3240534856070685,59
DTLZ2_5obj_150D,150,Traditional_NEHVI,0,2.1470490047119086,1.4678694834526145,45
DTLZ2_5obj_150D,150,Traditional_NEHVI,1,3.2883874102807025,2.624376665190218,53
DTLZ2_5obj_150D,150,Traditional_NEHVI,2,2.836588010194888,1.9107048559347646,40
DTLZ2_5obj_150D,150,Traditional_NEHVI,3,2.5760161555634116,2.4016449738746344,49
DTLZ2_5obj_150D,150,Traditional_NEHVI,4,2.9618589552854546,3.2368258299745065,36
DTLZ2_5obj_150D,150,Traditional_NEHVI,5,3.624252737480455,2.027217171339256,39
DTLZ2_5obj_150D,150,Traditional_NEHVI,6,3.3505924739821893,3.0647787602497987,43
DTLZ2_5obj_150D,150,Traditional_NEHVI,7,2.846437886579223,2.3567903743197105,35
DTLZ2_5obj_150D,150,Traditional_NEHVI,8,2.603077129592118,2.040734102522885,40
DTLZ2_5obj_150D,150,Traditional_NEHVI,9,3.0557582311582157,2.4373760915262137,40
DTLZ2_5obj_200D,200,EGBO,0,5.570260417415419,2.5447611881456296,54
DTLZ2_5obj_200D,200,EGBO,1,6.235123505345364,2.7122438849323034,54
DTLZ2_5obj_200D,200,EGBO,2,5.588602883467555,2.414773574969474,72
DTLZ2_5obj_200D,200,EGBO,3,5.06169800741408,2.319793665099224,58
DTLZ2_5obj_200D,200,EGBO,4,5.47002137309188,2.7473631701845282,54
DTLZ2_5obj_200D,200,EGBO,5,5.653664776350567,2.530108240500343,52
DTLZ2_5obj_200D,200,EGBO,6,6.235948905946247,2.3408751478421,86
DTLZ2_5obj_200D,200,EGBO,7,6.2346267154079005,2.371073609676433,60
DTLZ2_5obj_200D,200,EGBO,8,5.534446269019189,2.6037135858030895,58
DTLZ2_5obj_200D,200,EGBO,9,6.624311249640232,2.6044388217633085,43
DTLZ2_5obj_200D,200,Traditional_NEHVI,0,3.065327388947945,2.8575414006065043,39
DTLZ2_5obj_200D,200,Traditional_NEHVI,1,3.3504326565956855,2.251961944879567,26
DTLZ2_5obj_200D,200,Traditional_NEHVI,2,3.425330829410347,2.815055298747618,46
DTLZ2_5obj_200D,200,Traditional_NEHVI,3,5.5121101717458085,1.6767288134033667,42
DTLZ2_5obj_200D,200,Traditional_NEHVI,4,4.0210378049710425,2.202808275489776,42
DTLZ2_5obj_200D,200,Traditional_NEHVI,5,3.5956819516846426,3.2518613598595287,28
DTLZ2_5obj_200D,200,Traditional_NEHVI,6,2.946798484276042,2.277171086892521,63
DTLZ2_5obj_200D,200,Traditional_NEHVI,7,3.8101053909168527,3.053585322254277,39
DTLZ2_5obj_200D,200,Traditional_NEHVI,8,4.632525310675419,2.6586312115699413,46
DTLZ2_5obj_200D,200,Traditional_NEHVI,9,3.8853102751821784,3.17369044963941,57
DTLZ2_5obj_250D,250,EGBO,0,10.61699998261243,3.096795767774544,47
DTLZ2_5obj_250D,250,EGBO,1,10.811498168456554,2.8714376366680665,64
DTLZ2_5obj_250D,250,EGBO,2,11.191738161896351,4.024331439547608,53
DTLZ2_5obj_250D,250,EGBO,3,11.117989327536526,2.9065325263858948,61
DTLZ2_5obj_250D,250,EGBO,4,10.532459044605469,3.417269639863747,45
DTLZ2_5obj_250D,250,EGBO,5,11.254186583834997,3.847257137291183,42
DTLZ2_5obj_250D,250,EGBO,6,10.822533606390234,3.1561694764560615,58
DTLZ2_5obj_250D,250,EGBO,7,10.771991955497764,3.391091998190628,51
DTLZ2_5obj_250D,250,EGBO,8,11.188466052106444,3.4236149725895655,41
DTLZ2_5obj_250D,250,EGBO,9,10.952293121496066,3.3672766272564636,35
DTLZ2_5obj_250D,250,Traditional_NEHVI,0,5.998319403989117,1.5072110036420594,19
DTLZ2_5obj_250D,250,Traditional_NEHVI,1,3.6924850781863885,2.1795946769425782,49
DTLZ2_5obj_250D,250,Traditional_NEHVI,2,4.762302652957493,3.111835895274679,31
DTLZ2_5obj_250D,250,Traditional_NEHVI,3,3.6403665260136773,2.938349876273763,49
DTLZ2_5obj_250D,250,Traditional_NEHVI,4,5.378197491578488,4.59445288473035,35
DTLZ2_5obj_250D,250,Traditional_NEHVI,5,5.057984994257323,2.4312351568915633,22
DTLZ2_5obj_250D,250,Traditional_NEHVI,6,3.594752412472967,1.5026568293671145,30
DTLZ2_5obj_250D,250,Traditional_NEHVI,7,4.963847757416471,2.7156539213191166,38
DTLZ2_5obj_250D,250,Traditional_NEHVI,8,4.678707579585356,3.9650656862646634,22
DTLZ2_5obj_250D,250,Traditional_NEHVI,9,4.010364068494579,2.5341687881466077,44
