problem,algorithm,mean_feasible_ratio,std_feasible_ratio,mean_feasible_samples,std_feasible_samples,mean_total_samples,n_trials,se_feasible_ratio,se_feasible_samples
MW5,EGBO,0.31666666666666665,0.12579557704844777,36.1,14.340695783523042,114.0,10,0.03978005430482964,4.5349261907505785
MW5,Traditional_NEHVI,0.08771929824561403,0.032821556024332815,10.0,3.7416573867739418,114.0,9,0.010940518674777605,1.2472191289246473
MW5_LooseBoundary,EGBO,0.3350877192982456,0.14015580986147597,38.2,15.977762324208259,114.0,10,0.044321158646775244,5.0526120857323775
MW5_LooseBoundary,Traditional_NEHVI,0.08596491228070176,0.021003842100664295,9.8,2.3944379994757297,114.0,10,0.006641998065263478,0.7571877794400365
MW5_TightBoundary,EGBO,0.3026315789473684,0.11719639663059112,34.5,13.360389215887388,114.0,10,0.037060754691715096,4.224926034855521
MW5_TightBoundary,Traditional_NEHVI,0.08070175438596491,0.014794281451080138,9.2,1.6865480854231356,114.0,10,0.004678362573099415,0.5333333333333333
