problem,constraint_type,algorithm,trial,auc10,final_hv,regret,n_batches,time
MW7,Normal,Traditional_NEHVI,5,0.000000,0.000000,0.263217,12,0.00
MW7,Normal,Traditional_NEHVI,6,0.208653,0.244790,0.018427,12,0.00
MW7,Normal,Traditional_NEHVI,7,0.391342,0.147349,0.115868,12,0.00
MW7,Normal,Traditional_NEHVI,8,0.000000,0.144905,0.118312,12,0.00
MW7,Normal,Traditional_NEHVI,9,0.056196,0.138168,0.125049,12,0.00
MW7,Normal,EGBO,0,1.045114,0.227797,0.035420,12,131.63
MW7,Normal,EGBO,1,1.910115,0.400131,-0.136914,12,149.27
MW7,Normal,EGBO,2,0.357949,0.156675,0.106542,12,93.00
MW7,Normal,EGBO,3,1.484804,0.305251,-0.042034,12,137.23
MW7,Normal,EGBO,4,0.228477,0.041070,0.222147,12,102.49
MW7,Normal,EGBO,5,1.284810,0.336648,-0.073431,12,0.00
MW7,Normal,EGBO,6,2.209148,0.377740,-0.114523,12,0.00
MW7,Normal,EGBO,7,1.142961,0.254769,0.008448,12,0.00
MW7,Normal,EGBO,8,2.057470,0.321746,-0.058529,12,0.00
MW7,Normal,EGBO,9,0.730674,0.210345,0.052872,12,0.00
