problem,algorithm,noise_pct,trial,igd_auc,final_igd,n_batches
DTLZ2_5obj,EGBO,0,0,8.4037075682312,0.4949802065664244,12
DTLZ2_5obj,EGBO,0,1,7.824810966443751,0.4783287192425964,12
DTLZ2_5obj,EGBO,0,2,7.148930772893095,0.43890011611313007,12
DTLZ2_5obj,EGBO,0,3,7.823783191911492,0.5042525876839757,12
DTLZ2_5obj,EGBO,0,4,7.859248160820113,0.43726064415818366,12
DTLZ2_5obj,EGBO,0,5,8.277238633290173,0.4573015647455759,12
DTLZ2_5obj,EGBO,0,6,8.35054882857571,0.5096233450258784,12
DTLZ2_5obj,EGBO,0,7,7.114980165257589,0.41677621744618776,12
DTLZ2_5obj,EGBO,0,8,7.644450290810803,0.4785519131860422,12
DTLZ2_5obj,EGBO,0,9,7.9634160217762195,0.46906098044525896,12
DTLZ2_5obj,EGBO,1,0,9.081148479425162,0.5395895913038321,12
DTLZ2_5obj,EGBO,1,1,7.742058463584383,0.4596973189320637,12
DTLZ2_5obj,EGBO,1,2,8.261932227033409,0.4841317994769092,12
DTLZ2_5obj,EGBO,1,3,9.031522231995249,0.546396693812463,12
DTLZ2_5obj,EGBO,1,4,7.910739407436632,0.4477089796844071,12
DTLZ2_5obj,EGBO,1,5,7.743122742971384,0.46450414432437004,12
DTLZ2_5obj,EGBO,1,6,7.620580727257013,0.49451907081545654,12
DTLZ2_5obj,EGBO,1,7,7.6341715819232645,0.47110782749265834,12
DTLZ2_5obj,EGBO,1,8,7.606434319911606,0.44801373246184745,12
DTLZ2_5obj,EGBO,1,9,8.652998352678846,0.5151706579164796,12
DTLZ2_5obj,EGBO,5,0,9.13116004086027,0.5143978415442594,12
DTLZ2_5obj,EGBO,5,1,7.534812502849811,0.47026589036675315,12
DTLZ2_5obj,EGBO,5,2,7.589031785830816,0.45257141675939133,12
DTLZ2_5obj,EGBO,5,3,8.082218348349818,0.5244687848900631,12
DTLZ2_5obj,EGBO,5,4,7.5087277551231235,0.47985535947225755,12
DTLZ2_5obj,EGBO,5,5,7.918561298244896,0.5181622835022197,12
DTLZ2_5obj,EGBO,5,6,6.661746607796363,0.4641155526185365,12
DTLZ2_5obj,EGBO,5,7,7.140803342261149,0.47069808531343243,12
DTLZ2_5obj,EGBO,5,8,7.9947334853686245,0.48670776273787997,12
DTLZ2_5obj,EGBO,5,9,8.166868494268295,0.47453223175310566,12
DTLZ2_5obj,EGBO,10,0,8.171757828753996,0.4692705159817542,12
DTLZ2_5obj,EGBO,10,1,9.183786866307535,0.5001589863975692,12
DTLZ2_5obj,EGBO,10,2,7.420824013255504,0.4653478823302714,12
DTLZ2_5obj,EGBO,10,3,7.815979337816451,0.47526286269420526,12
DTLZ2_5obj,EGBO,10,4,8.276048753912926,0.4876790020963983,12
DTLZ2_5obj,EGBO,10,5,7.524321527457458,0.48951916330555784,12
DTLZ2_5obj,EGBO,10,6,7.026459972973824,0.48213858385870645,12
DTLZ2_5obj,EGBO,10,7,7.697540200244868,0.4719049105834432,12
DTLZ2_5obj,EGBO,10,8,7.527618653167707,0.48068906187430605,12
DTLZ2_5obj,EGBO,10,9,6.325226080264684,0.4462982651604054,12
DTLZ2_5obj,EGBO,20,0,6.769409117204804,0.54600292136054,12
DTLZ2_5obj,EGBO,20,1,6.704989852398778,0.48192398791676266,12
DTLZ2_5obj,EGBO,20,2,7.168159941773196,0.4583429554874621,12
DTLZ2_5obj,EGBO,20,3,8.474544992969715,0.5008522515621217,12
DTLZ2_5obj,EGBO,20,4,6.16354857915878,0.4888065774293208,12
DTLZ2_5obj,EGBO,20,5,8.937978448209499,0.5457012888104215,12
DTLZ2_5obj,EGBO,20,6,8.42277434178751,0.4675565936607343,12
DTLZ2_5obj,EGBO,20,7,6.929757396301636,0.47488552811104373,12
DTLZ2_5obj,EGBO,20,8,7.386681268489353,0.4674078225035878,12
