problem,algorithm,noise_pct,trial,igd
ZDT2,NEHVI_SMS,5,3,1.6766134107012405
ZDT2,NEHVI_SMS,5,4,1.4614945257805243
ZDT2,NEHVI_SMS,1,0,1.809340877742893
ZDT2,NEHVI_SMS,1,1,2.0943400906552285
ZDT2,NEHVI_SMS,1,2,1.2163112935610731
ZDT2,NEHVI_SMS,1,3,1.3469955606397717
ZDT2,NEHVI_SMS,1,4,1.3829107502573172
ZDT2,NEHVI_SMS,10,0,1.6269000741174866
ZDT2,NEHVI_SMS,10,1,1.9374840018645434
ZDT2,NEHVI_SMS,10,2,1.2163112935610731
ZDT2,NEHVI_SMS,10,3,1.6766134107012405
ZDT2,NEHVI_SMS,10,4,1.130913035508286
ZDT2,NEHVI_SMS,0,0,1.744816741758756
ZDT2,NEHVI_SMS,0,1,2.0943400906552285
ZDT2,NEHVI_SMS,0,2,1.2163112935610731
ZDT2,NEHVI_SMS,0,3,1.6766134107012405
ZDT2,NEHVI_SMS,0,4,1.4614945257805243
ZDT2,NEHVI_SMS,20,0,1.7330074787898917
ZDT2,NEHVI_SMS,20,1,1.6864009402837918
ZDT2,NEHVI_SMS,20,2,1.1467628998527621
ZDT2,NEHVI_SMS,20,3,1.2515697630719291
ZDT2,NEHVI_SMS,20,4,1.0872716192310186
ZDT2,NEHVI_AGE2,5,0,1.809340877742893
ZDT2,NEHVI_AGE2,5,1,1.3829107502573172
ZDT2,NEHVI_AGE2,5,2,1.2163112935610731
ZDT2,NEHVI_AGE2,5,3,0.7227661043914737
ZDT2,NEHVI_AGE2,5,4,1.4614945257805243
ZDT2,NEHVI_AGE2,1,0,1.809340877742893
ZDT2,NEHVI_AGE2,1,1,2.0943400906552285
ZDT2,NEHVI_AGE2,1,2,1.2163112935610731
ZDT2,NEHVI_AGE2,1,3,1.3469955606397717
ZDT2,NEHVI_AGE2,1,4,1.4614945257805243
ZDT2,NEHVI_AGE2,10,0,1.809340877742893
ZDT2,NEHVI_AGE2,10,1,1.8273409106335905
ZDT2,NEHVI_AGE2,10,2,1.2163112935610731
ZDT2,NEHVI_AGE2,10,3,1.3469955606397717
ZDT2,NEHVI_AGE2,10,4,1.3829107502573172
ZDT2,NEHVI_AGE2,0,0,1.809340877742893
ZDT2,NEHVI_AGE2,0,1,1.3735901770187606
ZDT2,NEHVI_AGE2,0,2,1.2163112935610731
ZDT2,NEHVI_AGE2,0,3,1.6766134107012405
ZDT2,NEHVI_AGE2,0,4,1.4614945257805243
ZDT2,NEHVI_AGE2,20,0,1.7720410114192084
ZDT2,NEHVI_AGE2,20,1,0.6583695165147848
ZDT2,NEHVI_AGE2,20,2,1.2163112935610731
ZDT2,NEHVI_AGE2,20,3,1.6766134107012405
ZDT2,NEHVI_AGE2,20,4,0.8512401042466303
ZDT3,Traditional_NEHVI,5,0,0.0027059575843594577
ZDT3,Traditional_NEHVI,5,1,0.004087613542401706
ZDT3,Traditional_NEHVI,5,2,0.00273416941662505
ZDT3,Traditional_NEHVI,5,3,0.0033461191983802413
ZDT3,Traditional_NEHVI,5,4,0.003574411920545623
ZDT3,Traditional_NEHVI,5,5,0.003442962426187972
ZDT3,Traditional_NEHVI,5,6,0.002162414603322461
ZDT3,Traditional_NEHVI,5,7,0.005044026544107102
ZDT3,Traditional_NEHVI,5,8,0.005084551627297224
ZDT3,Traditional_NEHVI,5,9,0.0019825919108129274
ZDT3,Traditional_NEHVI,1,0,0.003588860270896502
ZDT3,Traditional_NEHVI,1,1,0.0021015035070615653
ZDT3,Traditional_NEHVI,1,2,0.0020255549580171276
ZDT3,Traditional_NEHVI,1,3,0.0015324336621470997
ZDT3,Traditional_NEHVI,1,4,0.0023916423109270756
ZDT3,Traditional_NEHVI,1,5,0.0022392867333659817
ZDT3,Traditional_NEHVI,1,6,0.0016280152543879688
ZDT3,Traditional_NEHVI,1,7,0.005923309221687224
ZDT3,Traditional_NEHVI,1,8,0.003661304035425639
ZDT3,Traditional_NEHVI,1,9,0.0023470207513990064
ZDT3,Traditional_NEHVI,10,0,0.00222218931324754
ZDT3,Traditional_NEHVI,10,1,0.0023180840723539516
ZDT3,Traditional_NEHVI,10,2,0.0019754012071743735
ZDT3,Traditional_NEHVI,10,3,0.0017852628054094816
ZDT3,Traditional_NEHVI,10,4,0.002308032039418157
ZDT3,Traditional_NEHVI,10,5,0.002484907409436554
ZDT3,Traditional_NEHVI,10,6,0.0033567879762140844
ZDT3,Traditional_NEHVI,10,7,0.005579359392368454
ZDT3,Traditional_NEHVI,10,8,0.0031490310236673077
ZDT3,Traditional_NEHVI,10,9,0.0022823514164548348
ZDT3,Traditional_NEHVI,0,0,0.003359388085827575
ZDT3,Traditional_NEHVI,0,1,0.001992910596421395
ZDT3,Traditional_NEHVI,0,2,0.0026629662059688085
ZDT3,Traditional_NEHVI,0,3,0.0018958766632007412
ZDT3,Traditional_NEHVI,0,4,0.002079077314094836
ZDT3,Traditional_NEHVI,0,5,0.002500171697677106
ZDT3,Traditional_NEHVI,0,6,0.003561025217505878
ZDT3,Traditional_NEHVI,0,7,0.0020934868873491853
ZDT3,Traditional_NEHVI,0,8,0.004027144987939709
ZDT3,Traditional_NEHVI,0,9,0.0022736615757634627
ZDT3,Traditional_NEHVI,20,0,0.0036436328183975133
ZDT3,Traditional_NEHVI,20,1,0.0015574546370479387
ZDT3,Traditional_NEHVI,20,2,0.002361668435893223
ZDT3,Traditional_NEHVI,20,3,0.00314475214906542
ZDT3,Traditional_NEHVI,20,4,0.0024110288176496064
ZDT3,Traditional_NEHVI,20,5,0.001912562835022568
ZDT3,Traditional_NEHVI,20,6,0.0024999740478789416
ZDT3,Traditional_NEHVI,20,7,0.0029281377693214854
ZDT3,Traditional_NEHVI,20,8,0.002156644192045863
ZDT3,Traditional_NEHVI,20,9,0.002173478711156456
ZDT3,EGBO,5,0,0.0023244571245741503
ZDT3,EGBO,5,1,0.0029266914245381667
ZDT3,EGBO,5,2,0.0028672734429668733
ZDT3,EGBO,5,3,0.002877768294087325
ZDT3,EGBO,5,4,0.0037366649590072883
ZDT3,EGBO,5,5,0.0030034397385200265
ZDT3,EGBO,5,6,0.0056344343285546486
ZDT3,EGBO,5,7,0.005016226805055261
ZDT3,EGBO,5,8,0.0026115110031231363
ZDT3,EGBO,5,9,0.001737879112350703
ZDT3,EGBO,1,0,0.0028772732464968846
ZDT3,EGBO,1,1,0.0027931112318891733
ZDT3,EGBO,1,2,0.0032847100992669637
ZDT3,EGBO,1,3,0.003131530856405043
ZDT3,EGBO,1,4,0.004647408064995824
ZDT3,EGBO,1,5,0.002800023729968945
ZDT3,EGBO,1,6,0.006697950861516148
ZDT3,EGBO,1,7,0.003848683129044318
ZDT3,EGBO,1,8,0.0035226887831925433
ZDT3,EGBO,1,9,0.0020651168020399077
ZDT3,EGBO,10,0,0.0021419192579822193
ZDT3,EGBO,10,1,0.002643395310656804
ZDT3,EGBO,10,2,0.003334038349043742
ZDT3,EGBO,10,3,0.002595545636590118
ZDT3,EGBO,10,4,0.0034986880464054457
ZDT3,EGBO,10,5,0.002776744698158658
ZDT3,EGBO,10,6,0.0027898762961315084
ZDT3,EGBO,10,7,0.0031176434317680716
ZDT3,EGBO,10,8,0.0024275180775768183
ZDT3,EGBO,10,9,0.0025752546944695347
ZDT3,EGBO,0,0,0.003635128961225812
ZDT3,EGBO,0,1,0.0034812922279923177
ZDT3,EGBO,0,2,0.0027694280839221674
ZDT3,EGBO,0,3,0.003984847423337797
ZDT3,EGBO,0,4,0.0038576433226482193
ZDT3,EGBO,0,5,0.003044334102765613
ZDT3,EGBO,0,6,0.005209299719281217
ZDT3,EGBO,0,7,0.0030009601825580676
ZDT3,EGBO,0,8,0.002628550149136961
ZDT3,EGBO,0,9,0.002279417851090365
ZDT3,EGBO,20,0,0.0018546028735063086
ZDT3,EGBO,20,1,0.0028315119578975236
ZDT3,EGBO,20,2,0.002841267056896416
ZDT3,EGBO,20,3,0.0026754636334576443
ZDT3,EGBO,20,4,0.004929912514025668
ZDT3,EGBO,20,5,0.0020321959340936406
ZDT3,EGBO,20,6,0.0033170344159444616
ZDT3,EGBO,20,7,0.0054364168265268065
ZDT3,EGBO,20,8,0.0030128174918612207
ZDT3,EGBO,20,9,0.0019526601591070552
ZDT3,NEHVI_SMS,5,0,0.00257358286976475
ZDT3,NEHVI_SMS,5,1,0.002939164888374838
ZDT3,NEHVI_SMS,5,2,0.0039001365598149403
ZDT3,NEHVI_SMS,5,3,0.0031600075498001874
ZDT3,NEHVI_SMS,5,4,0.002918880426137066
ZDT3,NEHVI_SMS,1,0,0.002548337112444025
ZDT3,NEHVI_SMS,1,1,0.003507619518363879
ZDT3,NEHVI_SMS,1,2,0.005267356004824624
ZDT3,NEHVI_SMS,1,3,0.0028095513072717944
ZDT3,NEHVI_SMS,1,4,0.0073265063638410744
ZDT3,NEHVI_SMS,10,0,0.0029771085446062954
ZDT3,NEHVI_SMS,10,1,0.003231117002896348
