problem,algorithm,noise_pct,trial,batch,igd_estimated
DTLZ2_5obj,EGBO,0,7,5,0.6820659893900642
DTLZ2_5obj,EGBO,0,7,6,0.6688634648684595
DTLZ2_5obj,EGBO,0,7,7,0.635483359328048
DTLZ2_5obj,EGBO,0,7,8,0.5908480582683533
DTLZ2_5obj,EGBO,0,7,9,0.493252614600654
DTLZ2_5obj,EGBO,0,7,10,0.445149742951885
DTLZ2_5obj,EGBO,0,7,11,0.41677621744618776
DTLZ2_5obj,EGBO,0,8,0,0.9571038263720844
DTLZ2_5obj,EGBO,0,8,1,0.9158541345663889
DTLZ2_5obj,EGBO,0,8,2,0.8473095497968398
DTLZ2_5obj,EGBO,0,8,3,0.8209222035135151
DTLZ2_5obj,EGBO,0,8,4,0.7593780183242091
DTLZ2_5obj,EGBO,0,8,5,0.6902115227776728
DTLZ2_5obj,EGBO,0,8,6,0.6499684329408615
DTLZ2_5obj,EGBO,0,8,7,0.6076347136947817
DTLZ2_5obj,EGBO,0,8,8,0.5782969832905082
DTLZ2_5obj,EGBO,0,8,9,0.5547190001104498
DTLZ2_5obj,EGBO,0,8,10,0.5023278620165121
DTLZ2_5obj,EGBO,0,8,11,0.4785519131860422
DTLZ2_5obj,EGBO,0,9,0,0.9381219608905179
DTLZ2_5obj,EGBO,0,9,1,0.9210183569586103
DTLZ2_5obj,EGBO,0,9,2,0.8817938228520654
DTLZ2_5obj,EGBO,0,9,3,0.8792806020497604
DTLZ2_5obj,EGBO,0,9,4,0.8157910760839913
DTLZ2_5obj,EGBO,0,9,5,0.7727341806282563
DTLZ2_5obj,EGBO,0,9,6,0.6989264534566068
DTLZ2_5obj,EGBO,0,9,7,0.6739124303539705
DTLZ2_5obj,EGBO,0,9,8,0.589391142450909
DTLZ2_5obj,EGBO,0,9,9,0.5390672169377639
DTLZ2_5obj,EGBO,0,9,10,0.4879092693363959
DTLZ2_5obj,EGBO,0,9,11,0.46906098044525896
DTLZ2_5obj,EGBO,1,0,0,1.0791791826076642
DTLZ2_5obj,EGBO,1,0,1,1.0706113160428876
DTLZ2_5obj,EGBO,1,0,2,1.0699238153631732
DTLZ2_5obj,EGBO,1,0,3,1.007150966390651
DTLZ2_5obj,EGBO,1,0,4,0.890165707801143
DTLZ2_5obj,EGBO,1,0,5,0.7887072503377366
DTLZ2_5obj,EGBO,1,0,6,0.784762333171466
DTLZ2_5obj,EGBO,1,0,7,0.7532086501055439
DTLZ2_5obj,EGBO,1,0,8,0.715304523754488
DTLZ2_5obj,EGBO,1,0,9,0.6025701220799011
DTLZ2_5obj,EGBO,1,0,10,0.5893594074224242
DTLZ2_5obj,EGBO,1,0,11,0.5395895913038321
DTLZ2_5obj,EGBO,1,1,0,0.9193946378641275
DTLZ2_5obj,EGBO,1,1,1,0.8535775539583204
DTLZ2_5obj,EGBO,1,1,2,0.8185991014591515
DTLZ2_5obj,EGBO,1,1,3,0.7710324381395033
DTLZ2_5obj,EGBO,1,1,4,0.759701236398418
DTLZ2_5obj,EGBO,1,1,5,0.7294968213198515
DTLZ2_5obj,EGBO,1,1,6,0.7035275825299627
DTLZ2_5obj,EGBO,1,1,7,0.6840017096113125
DTLZ2_5obj,EGBO,1,1,8,0.6314634216261823
DTLZ2_5obj,EGBO,1,1,9,0.5784768701021817
